group,villages,min,p005,p01,p025,p05,p10,p50,min_count,bottom5_count,bottom5_unique,weak_low_removed,lower_mad_protected,min_share,bottom5_average_multiplicity
1,361,1.9,1.955,1.98,2,2.115,2.24,2.7,1,20,9,2,0,.0027700831024931,2.222222222222222
2,361,2,2,2,2.28,2.48,2.825,4,5,19,6,1,0,.0138504155124654,3.166666666666667
3,361,8,8,8.9899998,9,9,9.4499998,12.75,3,32,3,1,0,.0083102493074792,10.66666666666667
4,361,4,4.5,4.5900002,5,5.6999998,6.3499999,7.9899998,1,20,9,0,0,.0027700831024931,2.222222222222222
5,361,.68,.68000001,.98000002,1,1.2,1.29,2,2,20,9,3,0,.0055401662049861,2.222222222222222
6,361,1.6,1.6,1.6,2.5,3,3.25,5.3800001,4,26,5,1,6,.0110803324099723,5.2
